# Phase 28 ADJUDICATED finding ledger — the machine artifact the signed receipt consumes.
# Validated by: python3 .planning/scripts/f28-ledger.py --validate <this file>
#   plus --check-completeness, --check-a2, --check-downgrades, --check-backlog-ids.
# inherited_severity is PROVENANCE ONLY and is never read by a gate (amendment A1).
# A contradicted_criterion other than "-" closes ACCEPTED and DEFERRED (amendment A2),
# regardless of the severity recorded on the row.
# "-" means "none"; a genuinely empty field is rejected, so an omission cannot read as a none.
# disposition OPEN is NOT terminal. A row carrying it means the acceptance gate does not pass,
# and that is the honest result rather than a reason to re-score the row.
#id	subject	inherited_severity	p28_severity	contradicted_criterion	available_dispositions	disposition	rationale	owner	backlog_id	executable_check	counter_evidence	origin
F-WR-04	leaked live-test state on the Windows certification host: 564 AppContainer profiles and 68 work directories under C:\Users\Public	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	FIXED	The count was a direct census of two weeks of historical failures of the very test repaired under F-WR-01: the work directory is removed only on the test's success path, so a test that could not reach its assertion leaked a directory and a profile on every run. Cleaned (564 removed, 0 failures, 0 leases remaining) and the repaired test tears down via reap_stray_descendants() and no longer creates a %PUBLIC% work dir at all. Cleanup was scoped to wcoresandbox*/WCore* profiles and wcore-* dirs; no other lane's state was touched. Note the leaked profiles were ALSO tested as a hypothesis for the parallel-mode failures and REFUTED - removing all 564 changed neither mode's outcome.			F-WR-REPAIR-SUMMARY.md - 564 profiles removed with 0 failures, 68 work directories, 0 leases remaining, LEFTOVER_MY_TASKS=0		matrix
F-WR-05	running the sandbox as SYSTEM trips validate_mutex_security: acquire() always builds a 2-entry DACL while the validator expects 1 when the caller's SID IS the SYSTEM SID, and it fails closed with a message that reads like a platform limitation	-	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	The KR-05 pattern in miniature - a fail-closed refusal wearing the costume of a platform limitation - but SYSTEM is not the shipping configuration, so LOW. It contradicts no criterion and it cost one lane a run rather than any user anything. Recorded because the misleading-message half of KR-05 is CONFIRMED and this is a second instance of it.	Phase 30 (hardening)	BL-F28-SYSTEM-DACL			matrix
F-WR-06	over ssh+PowerShell every non-zero exit status collapses to 1, and stdout sentinels are insufficient because CLIXML progress records splice into the stream and a status line can vanish while its marker survives	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	FIXED	A measurement-transport defect that silently destroys a result rather than failing loudly: a Windows leg could not distinguish 'failed' from 'failed the way we predicted', so rc==1 passed for every failure mode it was meant to separate. Fixed by a verified carrier rather than by care: the remote writes WLRC first and WLDONE last to a status file, a SEPARATE ssh call reads it back, and exit status is ignored entirely, with three-state grading (no marker = incomplete, marker without status = UNREADABLE, both = true code). Landed in LANE-BRIEF section 2 and AGENTS.md section 11. Related trap recorded: "$LASTEXITCODE:TAG" renders EMPTY because PowerShell reads $VAR: as namespace notation.			7/7 faithful over exit codes 0/1/2/3/7/100/255; evidence/28-kr01-repair/F-WR-06-EXIT-STATUS-PATTERN.md; the mid-write UNREADABLE case was then observed live during a real build poll		matrix
F-KR-07	live_cmd_runs_when_allowlist_has_missing_path fails deterministically (12/12 serial) with SandboxError::Timeout against a 10s manifest on a `cmd /c echo`	-	HIGH	1	FIXED,DISPROVED	FIXED	A native Windows AppContainer acceptance case in the hostile platform matrix, so a deterministic red contradicts Criterion 1 and A2 closes accept and defer. A 12-rung ladder showed the red was NEVER about the missing allowlist entry the finding is named for - the absent path alone clears in ~107ms - it was the OTHER entry: the test granted over std::env::temp_dir(), which is unbounded and shared with every process on the host, and apply_explicit_access propagates across the whole subtree on EVERY execution. THIS IS A TEST FIX, NOT A PRODUCT FIX, stated plainly: the product's O(objects) grant cost is unchanged and is filed as F-KR-09. Rung 11's own prediction was REFUTED (19,487ms against a predicted 25s exhaustion) and was left failing in the tree, because a rung edited until it passes measures nothing.			matched pair in ONE invocation: the unrepaired shape red at KR07B_REMEASURE verdict=FAIL Timeout elapsed_ms=25003 (100.0% of ceiling) while the repaired test printed 'test result: ok. 5 passed; 0 failed'; repaired case 107ms; cost ladder 200 objects 133ms vs 200,000 objects 19,487ms		matrix
F-KR-08	concurrent live AppContainer executions interfere on one host: the same suite yields 3/2, 2/3 and 1/4 in parallel versus a flat 4/1 across 12 serial runs	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Accepted because the observed failure is the product's fail-closed guard DECLINING TO MEASURE an ambiguous scope ('resolve_anchor_pid found 2 candidate anchors ... the descendant scope would be ambiguous') rather than answering wrongly - correct behaviour, not a defect. Its consequence is an operating rule, now recorded: --test-threads=1 is a CORRECTNESS REQUIREMENT for live sandbox suites, not a preference, and any live-Windows figure this program recorded from a parallel run is untrustworthy. This is the cause of CLASS-WIN-LIVE-01, whose exact 3-passed/2-failed signature reproduced 3/3 in parallel and 0/12 in serial.	Phase 30 (hardening)	BL-F28-WIN-PARALLEL			matrix
F-KR-09	AppContainer ACL grant+revoke is O(objects under the granted path) and is paid on EVERY execution: 133ms at 200 objects, ~10s at %TEMP%'s 57,636, 19,487ms at 200,000	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	A cost defect, not a containment defect, so it is the subject matter of no criterion. It matters in the field rather than in the lab: the allowlist the repaired test itself documents (~/.cache, ~/.cargo, ~/.npm, ~/.rustup) is exactly the large-tree case, so a real user can pay tens of seconds of setup on every sandboxed command. MEDIUM per standing policy, non-blocking.	Phase 30 (hardening)	BL-F28-ACL-COST			matrix
F-28C-R01	wcore-agent/actor_acl_test is RED under --ignored: sub_agent_with_deny_policy_short_circuits expects a deny error and gets 'tool-executed'	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DISPROVED	DISPROVED as a product defect by a 4-rung ladder, each rung a separate observation: the asserted enforcement string occurs in exactly one file in the workspace - the test itself, zero product sources; CallActor::SubAgent is constructed only in unit tests; every production site sets learned_policy: None. The pre-filter was deliberately removed in v0.8.1 U11 and the tests retained as a forward spec, and rungs 1-3 confirm that claim independently rather than trusting the prose. The unenforced deny path is UNREACHABLE in production, so it is not a live security gap. Left byte-identical - no #[ignore] removed, no assertion relaxed, no test deleted. The suite's four 'passing' tests were found VACUOUS: all four assert that the tool runs, which is trivially true when no pre-filter exists.				28-CLEANUP-SUMMARY.md RED 1 rungs 1-4, reproduced verbatim on hetzner serial --ignored	matrix
F-28C-R02	wcore-agent/tool_token_bench_smoke is RED (0 passed / 1 failed, 63s) with 'sandbox UNAVAILABLE and unsandboxed execution is not permitted'	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DISPROVED	DISPROVED as a product defect. The gate was UNDIAGNOSABLE BY CONSTRUCTION - it told the operator to see a scratch workdir that cleanup_workdir deleted on the same code path, and Row never retained the content - so that was fixed additively first, which made the ladder possible. Rungs then showed the host CAN sandbox (bwrap present, rc 0), bwrap IS visible to the test's own environment, and no selection ever happened (WAYLAND_ALLOW_NO_SANDBOX=1 produced a byte-identical failure, and that variable is read only by unsandboxed_fallback()). The bench builds a bare ToolRegistry with no engine, so BashTool takes a FailClosedBackend from ctx.sandbox and is structurally unable to execute there. The product's fail-closed refusal is correct and is the audit M-2 design. Harness gap filed as F-28C-01.				28-CLEANUP-SUMMARY.md RED 2 rungs 1-5, reproduced on hetzner	matrix
F-28C-R03	wcore-cli/acp_engine_turn is RED (0 passed / 2 failed): both cases fail at engine init_session	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DISPROVED	DISPROVED as a product defect, and THE SUITE IS STILL RED AND IS REPORTED RED. Rung 4 is the load-bearing one: removing the host config under an isolated HOME and XDG_CONFIG_HOME made the plaintext error disappear and MOVED THE PANIC from line 87 to line 98 - a moving panic line attributes a failure rather than guessing at it. The original red was host-config contamination: the test calls Config::resolve(), which reads the operator's real ~/.config/wayland-core/config.toml (line 103 backend = "plaintext") despite the file's doc-comment calling this 'the hermetic test seam'. What remains once isolated is a deliberate, documented, fail-closed refusal with two actionable remediations. It was NOT made to pass: doing so would have meant configuring credentials inside the test, which changes what it asserts. Residuals filed as F-28C-02 and F-28C-03.				28-CLEANUP-SUMMARY.md RED 3 rungs 1-5, reproduced on hetzner	matrix
F-28C-R04	two eval-scenarios suites (cross_session_live, live_personas) print an affirmative `1 passed` in 0.00s having executed nothing, via an env-gated early return (flavour B)	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	FIXED	Confirmed on hardware rather than inherited - the prior inventory listed them as unchecked candidates. Not in the hostile platform matrix (they are LLM-credential eval suites), so A2 does not fire and the score is on ordinary merits. Fixed by the same always-running zero_execution_guard as the other 13, and the guard is deliberately not #[ignore]d. Their defect is independent of the missing DEEPSEEK_API_KEY, and no credential was supplied.			the 13-guard falsification table in 28-CLEANUP-SUMMARY.md: env SET without --ignored -> FAILED rc=101, env unset -> ok rc=0, against a 'before' of `ok. 0 passed; N ignored`		matrix
F-28C-R05	a targeted nextest run matching zero tests exits 0 by default, because .config/nextest.toml set no no-tests policy and vx.toml pins nextest unversioned, so the behaviour depended on whichever CLI happened to be installed	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	FIXED	The generic close for zero-execution flavours (c) and (d) at the INVOCATION SITE rather than file by file: no-tests = "fail" on [profile.default], inherited by ci/e2e/eval, scoped to the whole invocation so a workspace run is unaffected and only a targeted run matching nothing fails. Stated limit: this is a NEXTEST-ONLY guarantee - plain `cargo test` retains the hazard, which is why the detector still exists and why F-28-04-003 carries the residual.			falsified known-positive against known-negative on hetzner: `cargo nextest run -p wcore-observability --test otlp_local_test` -> 'error: no tests to run' rc=4; `--lib` -> '50 tests run: 50 passed' rc=0		matrix
F-28C-01	tool_token_bench cannot measure BashTool on any host: it dispatches through a context with no sandbox backend, so every Bash row fails closed and the sanity gate refuses to write the markdown - the bench's Bash column has never been produced	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Bench-class, non-blocking, contradicts no criterion. Real and worth knowing: a measurement surface that has never produced its headline column is the same defect family as a suite that reports ok having run nothing.	Phase 30 (hardening)	BL-F28-BENCH-SANDBOX			matrix
F-28C-02	acp_engine_turn reads the host's real config.toml while documenting itself as hermetic, so its result depends on the developer's machine	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	The real fault behind RED 3. A non-hermetic test in a suite that calls itself the hermetic test seam is an instrument that reports the operator's environment as a product property - the same class as the retracted SSH belief in F-28-02-004.	Phase 30 (hardening)	BL-F28-ACP-HERMETIC			matrix
F-28C-03	an ACP/A2A session cannot be established on a headless Linux host with no OS keyring unless the operator sets credentials.backend = "encrypted-file" and supplies a passphrase	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Fail-closed and actionable with two documented remediations, so not a security defect - but headless Linux is the canonical deployment for an agent CLI and this is a first-run wall. Contradicts no criterion.	Phase 30 (hardening)	BL-F28-HEADLESS-KEYRING			matrix
F-MA-001	WorkspacePolicy::contained grants the ENTIRE host temp directory as a writable scratch root (scratch_dirs()), so a contained shell may write anywhere under /tmp	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Deliberate and documented in code, and it contradicts no criterion - recorded, not inflated. Measured rather than argued: it is what produced the first red of the new e2e containment gate, whose escape target sat in a tempfile::tempdir() the policy legitimately grants. That test was fixed at its cause rather than having its assertion weakened, and the episode is recorded in a comment in the test so a later reader does not 'fix' it the other way.	Phase 30 (hardening)	BL-F28-TEMP-SCRATCH			matrix
F-MA-002	`backend run --backend local` names a containment backend in its effective policy while never applying it to the child	-	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Honest in the receipt text ('selected but NOT applied to this child'), which is why it is LOW rather than an instance of the KR-05 pattern. It matters because it is the surface 28-02 reached for FIRST when looking for macOS activeness evidence, and it is what F-28-02-005 actually measured.	Phase 30 (hardening)	BL-F28-LOCAL-BACKEND			matrix
F-28-04-001	the two macOS members of the hostile platform matrix (hard_process_containment_macos, live_integrity_macos) had never been executed on any machine	-	HIGH	1	FIXED,DISPROVED	FIXED	Criterion 1 names macOS and 28-CLEANUP's own definition of the hostile platform matrix names both suites, so a family member that has never run means the criterion cannot be honestly asserted for it - A2 closes accept and defer. One predecessor lane recorded this as 'no macOS build host in this lane's reach', which was FALSE and was retracted on measurement: ci.yml already uses macos-latest. NOW MEASURED: a GitHub-hosted macOS runner executed both cases at exactly this plan's base commit cf48b349. The gate's load-bearing check is the third one - no `skip:` line - because both suites open with two early returns that would otherwise report `1 passed` having asserted nothing; that check PASSED, and I verified independently that zero output lines begin with skip: (the only three occurrences in the workflow log are the gate echoing its own source).			GitHub Actions run 30364529551 at headSha cf48b349, job 'wcore-sandbox live macOS acceptance' conclusion success: both suites 'running 1 test' then 'test result: ok. 1 passed; 0 failed', and 'GATE: PASSED - both required_live_macos_* cases executed on a real macOS host'; log retained at evidence/28-04/macos-ci-30364529551.log		certification
F-28-04-002	KR-05 RESIDUAL: whether the bash-tool path (wcore_sandbox::default_for_platform()) executes unsandboxed under a WEDGED AppContainer lease is unmeasured; the control exercised SandboxRegistry::required_for_session	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Named explicitly rather than absorbed into KR-05's DISPROVED row, because 28-02 said in terms that KR-05 must not be closed on the delegated surface alone. Scored MEDIUM on ordinary merits and NOT raised to HIGH by the unproven-control corollary, which contract section 3.4 recorded as considered and deliberately not applied - inventing a stricter rule than the recorded decision is the failure that grew Phase 20 to 74 plans. What would close it: drive `wayland-core sandbox exec` (or any bash-tool path) on seandesktop with a lease deliberately wedged, and observe whether the child carries a containment signature or an uncontained High-integrity label.	Phase 30 (hardening)	BL-F28-WEDGE-BASHPATH			certification
F-28-04-003	zero-execution flavour (d) survives for plain `cargo test`: 19 feature-gated and 25 platform-gated test binaries print `running 0 tests` / `ok` and exit 0, the largest blanking 16 tests	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	The invocation-site fix (no-tests = "fail") closes this for nextest only, and that limit is stated rather than glossed. Measured against a prior estimate of two instances, which is why the detector still exists. Contradicts no criterion, because every Phase 28 gate that matters runs through nextest or asserts an executed count.	Phase 30 (hardening)	BL-F28-FLAVOUR-D			certification
F-28-04-004	THE CERTIFICATION SPANS TWO CANDIDATES: the Linux and Windows matrix legs are 28-02's at 32e2f57d, while the macOS matrix re-run and all three soak legs are at e4a3f5fc. No single-candidate full matrix exists for this phase.	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	The single most important thing a reader of this receipt must know, so it is a ledger row rather than a footnote. It does NOT contradict Criterion 3, because the receipt binds each candidate exactly and per-scope rather than picking one and calling it 'the' candidate - the binding is honest, the coverage is what is split. It does not contradict Criterion 1's text either, which requires each family to pass the matrix and does not require one candidate; it does sit against the PHASE GOAL's words ('the exact candidate proves ...'), and that is stated as an exception in the verdict rather than scored as a criterion contradiction. Eleven merges landed between the two, adding 15 surfaces including the `sandbox` verb that makes the macOS re-run possible at all. Carried knowingly: re-running the Linux and Windows matrix at e4a3f5fc is a real measurement this phase did not take, and re-running any measurement to obtain a better number is forbidden by this plan's scope fence.	Phase 29 (release acceptance)	BL-F28-TWO-CANDIDATES			certification
F-28-04-005	the macOS orphan census is NON-AUTHORITATIVE: it observes a process group, and a hostile descendant can leave one, so its zero is a zero OBSERVATION rather than a containment guarantee	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Criterion 2's subject matter is 'no orphan process', so this bounds the strength of that claim on one family and is stated as an exception in the verdict. NOT scored HIGH: the instrument is not absent, it is weaker - it demonstrably detects an orphan, because a deliberately orphaned PRODUCT process was planted and FOUND. Linux (cgroup-v2) and Windows (job object) are authoritative and found theirs too. Scoring an instrument-scope limit as a criterion contradiction is the unproven-control corollary the contract declined at section 3.4. The soak.json record declares authoritative:false and carries the caveat in its own text, so no downstream reader can mistake it.	Phase 30 (hardening)	BL-F28-MACOS-CENSUS			soak
F-28-04-006	the soak workload is READ-ONLY by construction, so state_dir_bytes was 301 bytes at the first sample and 301 at the last on every family	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A true measurement and a weak one, and 28-03 said so under its own heading rather than in a footnote. A green here means 'a thousand read-only sessions wrote nothing' - worth knowing, and NOT the same as 'the product does not accumulate state under use'. The bands document recorded the related limit BEFORE any number existed: in a soak of 1,000 fresh short-lived processes a per-process leak cannot accumulate, so detection weight sits on the slope bands rather than the drift bands. Carried knowingly; a state-accumulating workload is a deliberate future choice, not an oversight.	Phase 30 (hardening)	BL-F28-SOAK-WORKLOAD			soak
F-28-04-007	the macOS sandbox activeness observation is RUN-LEVEL: one containment differential is applied to all 24 macOS sandbox-probes cells rather than one observation per cell	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	A matrix-CONSTRUCTION concern raised by 28-02, carried unchanged by 28-03, and still true. It is recorded rather than resolved because resolving it would mean re-running a measurement, which this plan's scope fence forbids, and because narrowing the cell set to match the observation would be a silent reduction of coverage. The differential itself is real and per-run (DNS resolves outside and not inside; /etc readable outside and denied inside), and the same construction was used for Linux and Windows.	Phase 30 (hardening)	BL-F28-RUNLEVEL-ACTIVENESS			matrix
F-28-04-008	desktop_contract_corpus is red (CLASS-CONTRACT-01, structural) and was run by no Phase 28 lane	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	Recorded for completeness because three separate lanes named it and declined it. Structural and outside every Phase 28 lane's brief; closing it would require `wcore-contract generate`, which is a release-coordination action explicitly reserved and NOT performed by this phase. Contradicts no Phase 28 criterion - it is a Desktop wire-contract fixture question.	Sean / Desktop release coordination	BL-F28-CONTRACT-CORPUS			certification
F-28-04-009	four of the five tests in wcore-agent/actor_acl_test are VACUOUS: all four assert that the tool RUNS, which is trivially true when the deny pre-filter they exist to test does not exist in production	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	A finding about the EVIDENCE BASE rather than about the candidate, and it is recorded as its own row instead of being left inside F-28C-R01's disposition, because the number it produces is what a reader would act on. This suite reports 4 passed and contributes nothing: the asserted enforcement string occurs in exactly one file in the workspace - the test itself - and every production construction site sets learned_policy: None. It is the same class as an all-ignored suite, one layer deeper: not zero tests executed, but four executed tests that cannot fail. Left byte-identical, and the suite should be read as a FORWARD SPEC rather than a certification input.	Phase 30 (hardening)	BL-F28-VACUOUS-GREENS			certification
F-28-04-010	`cargo test --test acp_engine_turn` prints `8 passed` and exits 0 while executing NEITHER of the two cases the binary is named for, because `#[path = "support/mod.rs"] mod support;` compiles 8 further non-ignored tests into the same binary	-	MEDIUM	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	DEFERRED	The sharpest zero-execution variant this program has found, because it defeats the program's OWN counter-rule: 'read the N passed count back' sees a healthy 8 passed and is satisfied. It also produced a detector FALSE POSITIVE - the inventory reported this file as all-ignored on a single-file scan - and a detector that over-reports trains the reader to skim the list, so the detector was corrected to resolve `mod` declarations and `#[path]` includes. NOT marked FIXED: an always-running guard worded for this specific hazard was added, but it was generated by the same generator as the other nine and its falsification was measured for three suites rather than for this binary individually, and the count-inflation itself is unchanged. Claiming FIXED over a guard I did not watch fail would be this phase's own defect in miniature.	Phase 30 (hardening)	BL-F28-COUNT-INFLATION			certification
F-28-04-011	the two macOS members of the hostile platform matrix infer containment from a wall-clock bound and a matched write pair rather than from a containment differential of the kind the E5 matrix requires	-	LOW	-	FIXED,DISPROVED,ACCEPTED,DEFERRED	ACCEPTED	Recorded after reading both test bodies rather than accepting their green. Both ARE substantive, and the 0.05s / 0.04s durations are not a smell: hard_process_containment_macos runs `/bin/sh -c '/bin/sleep 45 & exit N'` under sandbox-exec twice and asserts wall clock < 20s, so FAST IS THE PASS CONDITION - a non-reaping backend leaves the detached sleep holding the stdout pipe and execute blocks to 45s or the 30s manifest timeout, and it physically cannot produce 0.05s. The bound is ONE-SIDED IN THE SAFE DIRECTION: runner load can only make it slower, so load can only produce a false FAIL and never a false PASS. live_integrity_macos is a matched pair whose INSIDE-write half is the built-in control that separates 'the sandbox contained it' from 'the sandbox failed to launch', which is the vacuous-pass trap this program keeps finding. The residual, and the only reason this row exists: neither forms a containment DIFFERENTIAL, so the macOS evidence for Criterion 1 rests on two different instruments (these two suites plus the 216-cell E5 re-run) rather than one.	Phase 30 (hardening)	BL-F28-MACOS-INSTRUMENTS			matrix
